INST.,enableRegRead1,enableRegRead2,enableRegWrite,enableReadWrite,ImmSelction,AluSelection,enableMemRead,enableMemWrite,enablePush,enablePop,StackMode,enableIN,enableOUT,NextNotInst,enableGlobalStop
,,,,,,,,,,,,,,,
00000 : NOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00001 : MOV  Rsrc1, Rdst",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"00010 : ADD   Rsrc1, Rsrc2, Rdst",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"00011 : SUB    Rsrc1, Rsrc2, Rdst",1,1,1,0,0,10,0,0,0,0,0,0,0,0,0
"00100 : AND  Rsrc1, Rsrc2, Rdst",1,1,1,0,0,11,0,0,0,0,0,0,0,0,0
"00101 : OR     Rsrc1, Rsrc2, Rdst",1,1,1,0,0,100,0,0,0,0,0,0,0,0,0
00110 : RLC    Rdst,1,0,1,1,0,101,0,0,0,0,0,0,0,0,0
00111 : RRC   Rdst ,1,0,1,1,0,110,0,0,0,0,0,0,0,0,0
"01000 : SHL    Rdst, Imm  ",1,0,1,1,1,111,0,0,0,0,0,0,0,0,0
"01001 : SHR   Rdst, Imm",1,0,1,1,1,1000,0,0,0,0,0,0,0,0,0
01010 : SETC ,0,0,0,0,0,1101,0,0,0,0,0,0,0,0,0
01011 : CLRC ,0,0,0,0,0,1110,0,0,0,0,0,0,0,0,0
01100 : PUSH Rdst,,,,,,,,,,,,,,,
01101 : POP  Rdst ,,,,,,,,,,,,,,,
01110 : OUT  Rdst,,,,,,,,,,,,,,,
01111 : IN      Rdst,,,,,,,,,,,,,,,
10000 : NOT  Rdst ,1,0,1,1,0,1001,0,0,0,0,0,0,0,0,0
10001 : NEG  Rdst ,1,0,1,1,0,1010,0,0,0,0,0,0,0,0,0
10010 : INC   Rdst,1,0,1,1,0,1011,0,0,0,0,0,0,0,0,0
10011 : DEC  Rdst ,1,0,1,1,0,1100,0,0,0,0,0,0,0,0,0
10100 : JZ      Rdst,,,,,,,,,,,,,,,
10101 : JN     Rdst ,,,,,,,,,,,,,,,
10110 : JC     Rdst,,,,,,,,,,,,,,,
10111 : JMP  Rdst ,,,,,,,,,,,,,,,
11000 : CALL Rdst,,,,,,,,,,,,,,,
11001 : RET  ,,,,,,,,,,,,,,,
11010 : RTI ,,,,,,,,,,,,,,,
"11011 : LDM  Rdst, Imm ",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"11100 : LDD   Rdst, EA",0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
"11101 : STD  Rdst, EA",0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
